run_id	__done	run_number	function	input_size	treatment	execution_time	cpu_usage	memory_usage	energy_usage	rep_idx	schedule_order
run_326	TODO	r11	PrefixSum	10^6	Unroll-4					11	344
run_446	TODO	r11	BFS	1e3_nodes	Unroll-4					11	345
run_431	TODO	r11	BFS	1e3_nodes	Baseline					11	346
run_221	TODO	r11	FloydWarshall	200x200	Baseline					11	347
run_236	TODO	r11	FloydWarshall	200x200	Unroll-4					11	348
run_356	TODO	r11	ProductSum	10^5	Unroll-4					11	349
run_341	TODO	r11	ProductSum	10^5	Baseline					11	350
run_026	TODO	r11	Mergesort	10^4	Unroll-4					11	351
run_011	TODO	r11	Mergesort	10^4	Baseline					11	352
run_372	TODO	r12	StockSpan	10^5	Baseline					12	353
run_387	TODO	r12	StockSpan	10^5	Unroll-4					12	354
run_402	TODO	r12	EquilibriumIndex	10^5	Baseline					12	355
run_417	TODO	r12	EquilibriumIndex	10^5	Unroll-4					12	356
run_357	TODO	r12	ProductSum	10^5	Unroll-4					12	357
run_342	TODO	r12	ProductSum	10^5	Baseline					12	358
run_312	TODO	r12	PrefixSum	10^6	Baseline					12	359
run_327	TODO	r12	PrefixSum	10^6	Unroll-4					12	360
run_447	TODO	r12	BFS	1e3_nodes	Unroll-4					12	361
run_432	TODO	r12	BFS	1e3_nodes	Baseline					12	362
run_297	TODO	r12	Knapsack	500_items	Unroll-4					12	363
run_282	TODO	r12	Knapsack	500_items	Baseline					12	364
run_252	TODO	r12	Knapsack	100_items	Baseline					12	365
run_267	TODO	r12	Knapsack	100_items	Unroll-4					12	366
run_117	TODO	r12	Strassen	256x256	Unroll-4					12	367
run_102	TODO	r12	Strassen	256x256	Baseline					12	368
run_027	TODO	r12	Mergesort	10^4	Unroll-4					12	369
run_012	TODO	r12	Mergesort	10^4	Baseline					12	370
run_477	TODO	r12	BFS	1e4_nodes	Unroll-4					12	371
run_462	TODO	r12	BFS	1e4_nodes	Baseline					12	372
run_207	TODO	r12	FloydWarshall	100x100	Unroll-4					12	373
run_192	TODO	r12	FloydWarshall	100x100	Baseline					12	374
run_147	TODO	r12	MaxSubarray	10^4	Unroll-4					12	375
run_132	TODO	r12	MaxSubarray	10^4	Baseline					12	376
run_162	TODO	r12	MaxSubarray	10^5	Baseline					12	377
run_177	TODO	r12	MaxSubarray	10^5	Unroll-4					12	378
run_042	TODO	r12	Mergesort	10^5	Baseline					12	379
run_057	TODO	r12	Mergesort	10^5	Unroll-4					12	380
run_072	TODO	r12	Strassen	128x128	Baseline					12	381
run_087	TODO	r12	Strassen	128x128	Unroll-4					12	382
run_222	TODO	r12	FloydWarshall	200x200	Baseline					12	383
run_237	TODO	r12	FloydWarshall	200x200	Unroll-4					12	384
run_298	TODO	r13	Knapsack	500_items	Unroll-4					13	385
run_283	TODO	r13	Knapsack	500_items	Baseline					13	386
run_058	TODO	r13	Mergesort	10^5	Unroll-4					13	387
run_043	TODO	r13	Mergesort	10^5	Baseline					13	388
run_358	TODO	r13	ProductSum	10^5	Unroll-4					13	389
run_343	TODO	r13	ProductSum	10^5	Baseline					13	390
run_133	TODO	r13	MaxSubarray	10^4	Baseline					13	391
run_148	TODO	r13	MaxSubarray	10^4	Unroll-4					13	392
run_463	TODO	r13	BFS	1e4_nodes	Baseline					13	393
run_478	TODO	r13	BFS	1e4_nodes	Unroll-4					13	394
run_238	TODO	r13	FloydWarshall	200x200	Unroll-4					13	395
run_223	TODO	r13	FloydWarshall	200x200	Baseline					13	396
run_268	TODO	r13	Knapsack	100_items	Unroll-4					13	397
run_253	TODO	r13	Knapsack	100_items	Baseline					13	398
run_418	TODO	r13	EquilibriumIndex	10^5	Unroll-4					13	399
run_403	TODO	r13	EquilibriumIndex	10^5	Baseline					13	400
run_328	TODO	r13	PrefixSum	10^6	Unroll-4					13	401
run_313	TODO	r13	PrefixSum	10^6	Baseline					13	402
run_388	TODO	r13	StockSpan	10^5	Unroll-4					13	403
run_373	TODO	r13	StockSpan	10^5	Baseline					13	404
run_163	TODO	r13	MaxSubarray	10^5	Baseline					13	405
run_178	TODO	r13	MaxSubarray	10^5	Unroll-4					13	406
run_193	TODO	r13	FloydWarshall	100x100	Baseline					13	407
run_208	TODO	r13	FloydWarshall	100x100	Unroll-4					13	408
run_073	TODO	r13	Strassen	128x128	Baseline					13	409
run_088	TODO	r13	Strassen	128x128	Unroll-4					13	410
run_118	TODO	r13	Strassen	256x256	Unroll-4					13	411
run_103	TODO	r13	Strassen	256x256	Baseline					13	412
run_433	TODO	r13	BFS	1e3_nodes	Baseline					13	413
run_448	TODO	r13	BFS	1e3_nodes	Unroll-4					13	414
run_028	TODO	r13	Mergesort	10^4	Unroll-4					13	415
run_013	TODO	r13	Mergesort	10^4	Baseline					13	416
run_014	TODO	r14	Mergesort	10^4	Baseline					14	417
run_029	TODO	r14	Mergesort	10^4	Unroll-4					14	418
run_479	TODO	r14	BFS	1e4_nodes	Unroll-4					14	419
run_464	TODO	r14	BFS	1e4_nodes	Baseline					14	420
run_074	TODO	r14	Strassen	128x128	Baseline					14	421
run_089	TODO	r14	Strassen	128x128	Unroll-4					14	422
run_134	TODO	r14	MaxSubarray	10^4	Baseline					14	423
run_149	TODO	r14	MaxSubarray	10^4	Unroll-4					14	424
