__run_id,__done,benchmark,compilation,cold_start_energy,warm_start_energy,cold_start_cpu_util,warm_start_cpu_util,cold_start_duration,warm_start_duration,cold_start_memory_util,warm_start_memory_util
run_10_repetition_7,DONE,fannkuch/original.py,numba,2.005,1.45,58.555,98.182,741,400,25292800,25292800
run_11_repetition_7,DONE,fannkuch/original.py,cython,1.441,1.155,60.192,100.0,760,324,25751552,25477120
run_12_repetition_7,DONE,insertionsort/original.py,original,2.042,2.036,58.678,100.0,741,495,16465920,16465920
run_13_repetition_7,DONE,insertionsort/original.py,numba,1.684,1.916,63.206,95.925,798,571,16515072,16515072
run_14_repetition_7,DONE,insertionsort/original.py,cython,1.821,1.553,61.849,100.0,798,647,16801792,16801792
run_15_repetition_7,DONE,mandlebrot/original.py,original,28.397,27.839,95.943,99.776,7809,7620,392278016,394047488
run_16_repetition_7,DONE,mandlebrot/original.py,numba,27.359,27.873,95.703,100.0,7373,7020,388014080,394502144
run_17_repetition_7,DONE,mandlebrot/original.py,cython,19.173,19.388,93.852,100.0,5263,4941,377311232,382529536
run_18_repetition_7,DONE,nbody/original.py,original,4.437,4.633,78.331,100.0,1444,1331,10240000,10240000
run_19_repetition_7,DONE,nbody/original.py,numba,4.476,4.584,78.173,100.0,1482,1312,10186752,10186752
run_20_repetition_7,DONE,nbody/original.py,cython,4.318,5.032,82.627,100.0,1824,1389,10727424,10727424
run_21_repetition_7,DONE,recur_matrix_multiplication/original.py,original,3.221,3.163,73.345,100.0,1235,1122,10031104,10227712
